url|titulo|resumen|texto
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|"la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo convocado por Resolución de 9 de abril de 2024, 
Finalizado el plazo de presentación de instancias para participar en el proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024 (BOE de 17) y en cumplimiento de lo establecido en el artículo 20 del Real 
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|"Decreto 364/1995, de 10 de marzo (BOE de 10 de abril) y en el apartado Decimoquinto.1 de la Orden HFP/688/2017, de 20 de julio (BOE del 22),
Esta Subsecretaría ha resuelto lo siguiente:
Primero.
Declarar aprobada la lista provisional de admitidos y excluidos del citado proceso selectivo.
Segundo.
Publicar la lista de excluidos del proceso selectivo de referencia, que figura como anexo de esta resolución, con expresión de las causas de exclusión.
La lista completa de admitidos y excluidos se expondrá en el p
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|"unto de acceso general https://administracion.gob.es en la página web del Ministerio de Transportes y Movilidad Sostenible https://www.transportes.gob.es.
Tercero.
Los opositores omitidos por no figurar en las listas publicadas y los excluidos disponen de un plazo de diez días hábiles, contados a partir del siguiente al de la publicación de esta resolución en el «Boletín Oficial del Estado», para subsanar los defectos que hayan motivado su omisión o exclusión. Los aspirantes que, dentro del plazo señalado n
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|"o aleguen la omisión justificando su derecho a ser incluidos en la relación de admitidos, o no subsanen el motivo de exclusión, serán definitivamente excluidos de la realización de las pruebas.
Transcurrido el plazo citado, si no se hubieran realizado alegaciones o estas no hubieran sido tenidas en cuenta, la lista provisional de admitidos y excluidos adquirirá carácter definitivo.
Cuarto.
Se convoca a todos los aspirantes admitidos para la celebración del primer ejercicio, que tendrá lugar el día 8 de juli
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|"o de 2024, a las 10:30 horas, en la Sala Multiusos/Cafetería del Instituto Geográfico Nacional, sito en C/ General Ibáñez de Ibero, 3, 28003, Madrid.
Para la práctica de este ejercicio los opositores deberán ir provistos del documento nacional de identidad o documento equivalente que acredite de forma indudable su identidad.
Los aspirantes deberán acudir al centro asignado el día del examen, provistos de bolígrafos de color azul o negro.
Quinto.
Contra la presente resolución podrá interponerse, con carácter
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|" potestativo, recurso de reposición ante la Subsecretaria de Transportes y Movilidad Sostenible en el plazo de un mes desde el día siguiente a la fecha en que la relación provisional de admitidos y excluidos adquiere carácter definitivo automáticamente, o bien recurso contencioso-administrativo, en el plazo de dos meses contados a partir de la misma fecha, ante las Salas de lo Contencioso-administrativo de los Tribunales Superiores de Justicia, de conformidad con lo dispuesto en la Ley 39/2015, de 1 de octu
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|"bre, del Procedimiento Administrativo Común de las Administraciones Públicas y en la Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-administrativa, significándose que, en caso de interponer recurso de reposición, no se podrá interponer recurso contencioso-administrativo hasta que aquel sea resuelto expresamente o se haya producido la desestimación presunta del mismo.
Madrid, 6 de junio de 2024.–El Subsecretario de Transportes y Movilidad Sostenible, Jesús Manuel Gómez García.
ANEXO
C
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|"UERPO DE ASTRÓNOMOS
RELACIÓN PROVISIONAL DE ASPIRANTES EXCLUIDOS DEL PROCESO SELECTIVO
Promoción Interna
Ninguno.
Acceso Libre
Especialidad: Radioastronomía








NIF
Apellidos y nombre
Causas de exclusión




***6588**
BATET FIGUERAS, DAVID.
B


***6728**
BENITEZ QUEVEDO, JOSE ANTONIO.
B


***6945**
GARCÍA BARROSO, JOSÉ ALBERTO.
B, E


***4142**
LOPEZ LORENZANA, ALMUDENA.
B



Especialidad: Instrumentación y técnicas radioastronómicas








NIF
Apellidos y nombre
Causas de exclusión




***3136**
AVILA
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|" REDONDO, JONATHAN.
B


***5806**
BUXO SERRET, RAMON ENRIQUE.
B


***5544**
EL HARFI EL YOUSSFI, HOUDAIFA.
A, B, I


***6345**
FLORIDO TOME, ALEJANDRO JOSE.
B


***2886**
JIMENEZ RODRIGO, REBECA.
D


***3048**
PECERO GARCIA, MARIA ISABEL.
D


***6061**
PELEGRINA JIMENEZ, ANTONIO.
B


***0450**
SACRISTAN ROMERO, FRANCISCO.
B



Causas de exclusión:
A. Los días de permanencia en inscripción en los Servicios Públicos de Empleo son inferiores a los establecidos en el apartado b) del anexo V de las bases de la c
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf|Resolución de 6 de junio de 2024, de la Subsecretaría, por la que se aprueba la relación provisional de personas admitidas y excluidas y se anuncia fecha, hora y lugar de celebración del primer ejercicio del proceso selectivo para ingreso, por el sistema general de acceso libre y promoción interna, en el Cuerpo de Astrónomos, convocado por Resolución de 9 de abril de 2024.|"onvocatoria.
B. No ha sido posible verificar que percibe rentas inferiores al Salario Mínimo Interprofesional.
C. No acredita percibir rentas inferiores al Salario Mínimo Interprofesional.
D. No ha sido posible verificar la titulación académica.
E. Está en posesión de una titulación académica distinta de las recogidas en la base específica 4 de la convocatoria.
F. No procede la exención del pago de la tasa por familia numerosa especial, sino la reducción por familia numerosa general.
G. No ha sido posible v
URL: https://www.boe.es//boe/dias/2024/06/12/pdfs/BOE-A-2024-11897.pdf"|
